,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_t__rsiadx__kw_args,param_svc__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.725428581237793,0.9528875072439132,0.005123805999755859,0.006523102344756363,{'timeperiod': 5},7.196856730011521,"{'t__rsiadx__kw_args': {'timeperiod': 5}, 'svc__C': 7.196856730011521}",0.4333240815352016,0.42572665080664857,0.37935872624912026,0.36362755266388774,0.3640912882630709,0.3932256599035858,0.030269949583920534,1,0.9975746043883235,0.9979053740549609,0.9982248034674296,0.9992432517326614,0.999279542719146,0.9984455152725042,0.0006972714314510249
1,1.7215277671813964,0.9999435115225427,0.01357407569885254,0.002687948272383343,{'timeperiod': 10},268.2695795279727,"{'t__rsiadx__kw_args': {'timeperiod': 10}, 'svc__C': 268.2695795279727}",0.4024112948126241,0.40214259273424857,0.3761218033791381,0.371948134095152,0.38232426354234245,0.3869896177127011,0.012911715021007941,6,0.9963299480733262,0.9978822829825943,0.9985623404741016,0.9989308315077707,0.99915750850117,0.9981725823077927,0.001017497666249036
2,0.9496665954589844,0.6459101865096658,0.009375810623168945,0.007655317350409864,{'timeperiod': 15},0.07196856730011529,"{'t__rsiadx__kw_args': {'timeperiod': 15}, 'svc__C': 0.07196856730011529}",0.419358628040055,0.4260301322953393,0.3785773671479277,0.34780035730746167,0.3673986742591661,0.38783303180998996,0.03019512221477438,4,0.9059109223958467,0.9171791119778435,0.9284754449985848,0.9553527171734331,0.9663374355282833,0.9346511264147983,0.022812223485070452
3,1.640708827972412,0.923392449164374,0.008648252487182618,0.007184921301858002,{'timeperiod': 15},71.96856730011521,"{'t__rsiadx__kw_args': {'timeperiod': 15}, 'svc__C': 71.96856730011521}",0.41126533549063726,0.4084776421674278,0.38149516123339416,0.36251522000500697,0.3683683501098518,0.3864243418012636,0.020126523726739246,8,0.9969989044110399,0.9984748731661087,0.9987949510761681,0.9990872534013177,0.9992789773512804,0.9985269918811829,0.0008110419132483311
4,1.6730677604675293,0.9391343041098236,0.013399171829223632,0.006921824183438595,{'timeperiod': 5},0.7196856730011522,"{'t__rsiadx__kw_args': {'timeperiod': 5}, 'svc__C': 0.7196856730011522}",0.43222362078915283,0.4193464415156396,0.3851175068393989,0.3607553584972168,0.3620795844044558,0.39190450240917274,0.029273023547839547,2,0.9976532064054909,0.9988213552221038,0.9990070774930887,0.9995564720189726,0.999278100594242,0.9988632423467795,0.0006541108168550814
5,1.6939192295074463,0.9467524672361235,0.009281253814697266,0.008312028374150187,{'timeperiod': 10},719.6856730011522,"{'t__rsiadx__kw_args': {'timeperiod': 10}, 'svc__C': 719.6856730011522}",0.3965438217256166,0.4083441949529021,0.37540858789614,0.37191292913425,0.3804556133119074,0.38653302940416323,0.013786793845009207,7,0.9958169713720584,0.997874189527249,0.9987609816091235,0.9989308315077707,0.9990373183428063,0.9980840584718017,0.0012056270386536416
6,2.0540985584259035,1.2117199236090097,0.008197355270385741,0.004116873229609686,{'timeperiod': 5},719.6856730011522,"{'t__rsiadx__kw_args': {'timeperiod': 5}, 'svc__C': 719.6856730011522}",0.3980956360079925,0.4093189926316072,0.3832261304754838,0.36445463745002726,0.3736648927115778,0.3857520578553377,0.016210023581852008,9,0.9958170035998686,0.9981822326394979,0.9987610417405408,0.9995477505219769,0.9992771896132965,0.9983170436230362,0.0013343184208263936
7,0.06675915718078614,0.0324667005270321,0.009993267059326173,0.001094408213993035,{'timeperiod': 15},0.0007196856730011528,"{'t__rsiadx__kw_args': {'timeperiod': 15}, 'svc__C': 0.0007196856730011528}",0.42469309144305684,0.4316165617644426,0.3709615753588927,0.34457448392094187,0.36652738676210156,0.3876746198498871,0.034308641881710004,5,0.4758541207109332,0.4620275158329867,0.44059073921769915,0.43827066192945896,0.4382556240216126,0.4509997323425381,0.015311050246333705
8,1.8433005809783936,1.087770190461491,0.010194158554077149,0.0007474112329331013,{'timeperiod': 15},0.13894954943731389,"{'t__rsiadx__kw_args': {'timeperiod': 15}, 'svc__C': 0.13894954943731389}",0.41896513044271355,0.42688601924463737,0.3800803048256343,0.3440031319391308,0.3701074443317606,0.38800840615677534,0.03095012427074458,3,0.9934391366393113,0.9955030886478397,0.9964524835799543,0.9976281780761135,0.9983193892288363,0.9962684552344111,0.0017134685647608094
9,1.7814462661743165,0.9902410766093312,0.010393905639648437,0.0004896519883550817,{'timeperiod': 15},51.794746792312125,"{'t__rsiadx__kw_args': {'timeperiod': 15}, 'svc__C': 51.794746792312125}",0.4116152154521184,0.4071911013864493,0.3693102990673849,0.3617734933556543,0.3750629777963585,0.3849906174115931,0.020421537506622418,10,0.9952759765415006,0.9978761530734231,0.9985671346639307,0.9992349599577786,0.9992785646588885,0.9980465577791044,0.001476908876065751
